Id_cliente,churn,genero,idoso,possui_parceiro,possui_dependentes,tempo_de_contato,servico_telefonico,varias_linhas_telefonicas,tipo_de_internet,seguraca_online,backup_online,protecao_de_dispositivo,suporte_tecnico,tv_por_streaming,filmes_por_streaming,tipo_de_contrato,fatura_digital,forma_de_pagamento,gasto_mensal,gasto_total,contas_diarias
0017-IUDMW,No,Feminino,No,Yes,Yes,72,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cartão de crédito (automático),116.8,8456.75,3.915162037037037
0018-NYROU,No,Feminino,No,Yes,No,5,Yes,No,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,68.95,351.5,2.3433333333333333
0019-EFAEP,No,Feminino,No,No,No,72,Yes,Yes,Fibra óptica,Yes,Yes,Yes,No,Yes,No,Dois anos,Yes,Transferência bancária (automática),101.3,7261.25,3.361689814814815
0019-GFNTW,No,Feminino,No,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Dois anos,No,Transferência bancária (automática),45.05,2560.1,1.5238690476190475
0020-INWCK,No,Feminino,No,Yes,Yes,71,Yes,Yes,Fibra óptica,No,Yes,Yes,No,No,Yes,Dois anos,Yes,Cartão de crédito (automático),95.75,6849.4,3.215680751173709
0020-JDNXP,No,Feminino,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Um ano,No,Cheque enviado,61.25,1993.2,1.9541176470588235
0021-IKXGC,No,Feminino,Yes,No,No,1,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,72.1,72.1,2.4033333333333333
0022-TCJCI,Yes,Masculino,Yes,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Um ano,No,Cartão de crédito (automático),62.7,2791.5,2.0677777777777777
0023-HGHWL,Yes,Masculino,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,25.1,25.1,0.8366666666666667
0023-UYUPN,No,Feminino,Yes,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cheque eletrônico,25.2,1306.3,0.8708666666666667
0023-XUOPT,Yes,Feminino,No,Yes,No,13,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,No,Mês a mês,No,Cheque eletrônico,94.1,1215.6,3.1169230769230767
0027-KWYKW,No,Feminino,No,Yes,Yes,23,Yes,Yes,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,83.75,1849.95,2.6810869565217392
0030-FNXPP,No,Feminino,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.85,57.2,0.6355555555555555
0031-PVLZI,Yes,Feminino,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,20.35,76.35,0.63625
0032-PGELS,Yes,Feminino,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Mês a mês,No,Transferência bancária (automática),30.5,30.5,1.0166666666666666
0036-IHMOT,No,Feminino,No,Yes,Yes,55,Yes,No,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Um ano,Yes,Transferência bancária (automática),103.7,5656.75,3.4283333333333332
0040-HALCW,No,Masculino,No,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),20.4,1090.6,0.6732098765432099
0042-JVWOJ,No,Masculino,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,Yes,Transferência bancária (automática),19.6,471.85,0.6049358974358975
0042-RLHYP,No,Feminino,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Transferência bancária (automática),19.7,1396.9,0.6748309178743962
0048-LUMLS,No,Masculino,No,Yes,Yes,37,Yes,No,Fibra óptica,No,No,No,No,Yes,Yes,Um ano,No,Cartão de crédito (automático),91.2,3247.55,2.925720720720721
0048-PIHNL,No,Feminino,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Transferência bancária (automática),20.45,900.9,0.6128571428571429
0052-DCKON,No,Masculino,No,Yes,No,66,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Um ano,No,Transferência bancária (automática),115.8,7942.15,4.011186868686869
0052-YNYOT,No,Feminino,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cheque eletrônico,20.55,1343.4,0.6683582089552239
0056-EPFBG,No,Masculino,No,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Dois anos,Yes,Cartão de crédito (automático),39.4,825.4,1.3756666666666666
0057-QBUQH,No,Feminino,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,Yes,Cheque eletrônico,25.1,1070.15,0.8295736434108528
0058-EVZWM,No,Feminino,No,Yes,No,55,Yes,Yes,Fibra óptica,Yes,No,No,No,Yes,No,Mês a mês,Yes,Transferência bancária (automática),89.8,4959.6,3.005818181818182
0060-FUALY,No,Feminino,No,Yes,No,59,Yes,Yes,Fibra óptica,Yes,Yes,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,94.75,5597.65,3.1625141242937853
0064-SUDOG,No,Feminino,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Transferência bancária (automática),20.3,224.5,0.6236111111111111
0064-YIJGF,No,Masculino,No,Yes,Yes,27,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Transferência bancária (automática),75.75,1929.0,2.3814814814814813
0067-DKWBL,Yes,Masculino,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,49.25,91.1,1.5183333333333333
0068-FIGTF,No,Feminino,No,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Um ano,No,Cheque enviado,78.2,2078.95,2.5666049382716047
0071-NDAFP,No,Masculino,No,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),25.5,630.6,0.8408
0074-HDKDG,No,Masculino,No,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Um ano,Yes,Transferência bancária (automática),61.6,1611.0,2.148
0076-LVEPS,No,Masculino,No,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mês a mês,Yes,Cheque enviado,45.0,1242.45,1.428103448275862
0078-XZMHT,No,Masculino,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),85.15,6316.2,2.924166666666667
0080-EMYVY,No,Feminino,No,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Um ano,No,Cartão de crédito (automático),51.45,727.85,1.7329761904761904
0080-OROZO,No,Feminino,No,No,No,35,Yes,No,Fibra óptica,No,No,Yes,Yes,Yes,Yes,Um ano,Yes,Cheque eletrônico,99.25,3532.0,3.363809523809524
0082-LDZUE,No,Masculino,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cheque enviado,44.3,44.3,1.4766666666666666
0082-OQIQY,No,Masculino,No,No,No,29,Yes,No,Fibra óptica,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,94.2,2607.6,2.9972413793103447
0083-PIVIK,No,Masculino,No,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Um ano,No,Cheque eletrônico,81.25,5567.55,2.899765625
0089-IIQKO,No,Feminino,No,Yes,Yes,39,Yes,Yes,Fibra óptica,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),99.95,3767.4,3.22
0093-EXYQL,No,Feminino,Yes,No,No,40,Yes,No,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,91.55,3673.6,3.0613333333333332
0093-XWZFY,Yes,Masculino,No,No,No,40,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),104.5,4036.85,3.3640416666666666
0094-OIFMO,Yes,Feminino,Yes,No,No,11,Yes,No,Fibra óptica,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,95.0,1120.3,3.3948484848484846
0096-BXERS,No,Feminino,No,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,50.35,314.55,1.7475
0096-FCPUF,No,Masculino,No,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Mês a mês,Yes,Cheque enviado,64.5,1888.45,2.0982777777777777
0098-BOWSO,No,Masculino,No,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque eletrônico,19.4,529.8,0.654074074074074
0100-DUVFC,No,Masculino,Yes,Yes,No,70,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Um ano,Yes,Cheque eletrônico,104.8,7308.95,3.480452380952381
0103-CSITQ,No,Feminino,No,Yes,No,57,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Um ano,Yes,Transferência bancária (automática),109.4,6252.7,3.656549707602339
0104-PPXDV,No,Masculino,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,Um ano,No,Cartão de crédito (automático),50.3,2878.55,1.6543390804597702
0106-GHRQR,No,Masculino,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Mês a mês,Yes,Transferência bancária (automática),71.4,1212.1,2.525208333333333
0106-UGRDO,No,Feminino,No,Yes,No,69,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque eletrônico,116.0,8182.85,3.953067632850242
0107-WESLM,Yes,Masculino,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque eletrônico,19.85,19.85,0.6616666666666667
0107-YHINA,Yes,Masculino,No,No,Yes,1,Yes,Yes,Fibra óptica,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,99.75,99.75,3.325
0111-KLBQG,No,Masculino,Yes,Yes,Yes,32,Yes,No,Fibra óptica,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque enviado,93.95,2861.45,2.980677083333333
0112-QAWRZ,No,Masculino,No,Yes,Yes,16,Yes,Yes,Fibra óptica,No,No,Yes,No,Yes,No,Mês a mês,Yes,Transferência bancária (automática),90.8,1442.2,3.0045833333333336
0112-QWPNC,Yes,Masculino,No,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Um ano,No,Cheque eletrônico,84.35,4059.35,2.7614625850340135
0114-IGABW,No,Feminino,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Transferência bancária (automática),58.25,4145.9,1.946431924882629
0114-PEGZZ,No,Feminino,No,No,No,33,Yes,Yes,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mês a mês,No,Cheque eletrônico,107.55,3645.5,3.6823232323232324
0114-RSRRW,No,Feminino,No,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Transferência bancária (automática),19.95,187.75,0.6258333333333334
0115-TFERT,Yes,Masculino,No,Yes,No,21,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,111.2,2317.1,3.677936507936508
0117-LFRMW,Yes,Masculino,No,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mês a mês,No,Transferência bancária (automática),40.2,1448.8,1.3052252252252252
0118-JPNOY,No,Feminino,Yes,No,No,26,Yes,No,Fibra óptica,Yes,No,No,No,Yes,No,Mês a mês,Yes,Cartão de crédito (automático),85.8,2193.65,2.812371794871795
0121-SNYRK,No,Masculino,No,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,Um ano,Yes,Cheque enviado,35.4,1748.9,1.1659333333333335
0122-OAHPZ,Yes,Feminino,No,No,No,7,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,73.85,511.25,2.4345238095238093
0123-CRBRT,No,Feminino,No,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Cheque enviado,88.1,5526.75,3.0200819672131147
0125-LZQXK,Yes,Masculino,No,No,No,15,Yes,No,Fibra óptica,No,No,Yes,Yes,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,101.35,1553.95,3.453222222222222
0128-MKWSG,No,Feminino,No,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mês a mês,No,Cheque enviado,45.8,1147.0,1.4705128205128206
0129-KPTWJ,No,Masculino,No,Yes,No,72,Yes,No,Fibra óptica,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,94.65,6747.35,3.1237731481481483
0129-QMPDR,No,Masculino,No,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,Yes,Transferência bancária (automática),20.5,865.05,0.655340909090909
0130-SXOUN,No,Masculino,No,No,No,66,Yes,Yes,Fibra óptica,No,Yes,No,No,No,Yes,Mês a mês,No,Cartão de crédito (automático),89.4,5976.9,3.0186363636363636
0133-BMFZO,Yes,Feminino,No,No,No,2,Yes,No,Fibra óptica,Yes,Yes,No,Yes,No,No,Mês a mês,Yes,Cheque eletrônico,86.25,181.65,3.0275000000000003
0134-XWXCE,No,Feminino,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Um ano,No,Transferência bancária (automática),74.85,3268.05,2.475795454545455
0135-NMXAP,Yes,Feminino,No,No,No,12,Yes,Yes,Fibra óptica,No,Yes,No,No,Yes,No,Mês a mês,Yes,Transferência bancária (automática),89.75,1052.4,2.923333333333334
0136-IFMYD,No,Masculino,Yes,Yes,No,69,Yes,Yes,Fibra óptica,No,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque eletrônico,109.95,7634.25,3.6880434782608695
0137-OCGAB,Yes,Feminino,No,No,No,1,Yes,Yes,Fibra óptica,No,Yes,No,No,No,No,Mês a mês,Yes,Cheque enviado,80.2,80.2,2.6733333333333333
0137-UDEUO,Yes,Feminino,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.85,63.75,0.7083333333333334
0139-IVFJG,No,Feminino,No,Yes,No,2,Yes,No,Fibra óptica,Yes,Yes,No,No,Yes,No,Mês a mês,No,Cheque eletrônico,90.35,190.5,3.175
0141-YEAYS,No,Feminino,Yes,No,No,27,Yes,Yes,Fibra óptica,No,Yes,Yes,No,No,No,Mês a mês,Yes,Transferência bancária (automática),86.45,2401.05,2.9642592592592596
0142-GVYSN,No,Masculino,No,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,Cheque eletrônico,20.3,511.25,0.655448717948718
0147-ESWWR,No,Feminino,Yes,Yes,No,39,Yes,Yes,Fibra óptica,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,101.25,3949.15,3.3753418803418804
0148-DCDOS,Yes,Masculino,No,No,No,25,Yes,Yes,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Transferência bancária (automática),94.7,2362.1,3.1494666666666666
0151-ONTOV,Yes,Feminino,No,No,No,1,Yes,No,Fibra óptica,No,No,No,No,No,No,Mês a mês,No,Cheque enviado,70.9,70.9,2.3633333333333337
0156-FVPTA,Yes,Masculino,No,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Mês a mês,Yes,Cheque eletrônico,54.2,1152.7,1.7465151515151516
0164-APGRB,No,Feminino,No,No,No,72,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque eletrônico,114.9,8496.7,3.9336574074074075
0164-XAIRP,No,Feminino,No,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,Yes,Transferência bancária (automática),19.55,470.2,0.6530555555555555
0168-XZKBB,No,Feminino,No,Yes,No,19,Yes,Yes,Fibra óptica,No,No,No,No,Yes,No,Mês a mês,Yes,Cheque eletrônico,86.85,1564.4,2.744561403508772
0174-QRVVY,No,Masculino,No,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cartão de crédito (automático),25.35,1847.55,0.8673943661971831
0177-PXBAT,No,Masculino,Yes,Yes,No,33,Yes,Yes,Fibra óptica,Yes,No,Yes,Yes,Yes,Yes,Mês a mês,Yes,Transferência bancária (automática),109.9,3694.7,3.732020202020202
0178-CIIKR,No,Feminino,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,19.95,58.0,0.6444444444444445
0178-SZBHO,No,Masculino,No,Yes,Yes,47,Yes,Yes,Fibra óptica,No,Yes,No,No,Yes,No,Mês a mês,No,Cheque eletrônico,87.2,4017.45,2.849255319148936
0181-RITDD,No,Masculino,No,Yes,Yes,62,Yes,No,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Cheque enviado,108.15,6825.65,3.6697043010752686
0186-CAERR,No,Masculino,No,No,No,71,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Um ano,Yes,Transferência bancária (automática),116.3,8309.55,3.901197183098591
0187-QSXOE,No,Masculino,Yes,Yes,No,7,Yes,No,Fibra óptica,No,No,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,89.0,605.45,2.883095238095238
0187-WZNAB,No,Feminino,No,Yes,Yes,27,Yes,No,Fibra óptica,Yes,No,No,No,No,No,Mês a mês,No,Cheque enviado,74.4,1972.35,2.435
0188-GWFLE,No,Masculino,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Cheque enviado,20.05,33.7,0.5616666666666668
0191-EQUUH,No,Feminino,No,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Dois anos,No,Transferência bancária (automática),35.05,844.45,1.1259333333333335
0191-ZHSKZ,No,Masculino,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,74.75,2111.3,2.345888888888889
0193-ESZXP,Yes,Feminino,Yes,Yes,No,58,Yes,No,Fibra óptica,Yes,Yes,No,Yes,Yes,Yes,Um ano,Yes,Cartão de crédito (automático),105.5,6205.5,3.5663793103448276
0195-IESCP,Yes,Masculino,No,Yes,No,10,Yes,Yes,Fibra óptica,No,No,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,85.25,855.3,2.851
0196-JTUQI,No,Feminino,No,No,No,9,Yes,Yes,Fibra óptica,No,No,No,No,No,No,Mês a mês,Yes,Cartão de crédito (automático),75.2,633.85,2.347592592592593
0196-VULGZ,Yes,Feminino,Yes,Yes,No,6,Yes,Yes,Fibra óptica,No,No,No,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,84.35,474.9,2.638333333333333
0197-PNKNK,No,Feminino,No,Yes,Yes,69,Yes,Yes,Fibra óptica,Yes,No,Yes,No,No,No,Um ano,No,Transferência bancária (automática),84.45,5848.6,2.825410628019324
0201-MIBOL,No,Feminino,Yes,No,No,66,Yes,Yes,Fibra óptica,Yes,No,No,No,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),102.4,6471.85,3.2686111111111114
0201-OAMXR,Yes,Feminino,No,No,No,70,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Um ano,No,Cartão de crédito (automático),115.55,8127.6,3.8702857142857146
0203-HHYIJ,Yes,Masculino,No,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Transferência bancária (automática),25.3,676.35,0.9018
0206-OYVOC,No,Feminino,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,Yes,Cheque enviado,19.25,864.2,0.626231884057971
0206-TBWLC,No,Feminino,No,Yes,No,54,Yes,Yes,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Um ano,Yes,Cheque enviado,114.65,6049.5,3.734259259259259
0207-MDKNV,Yes,Feminino,No,No,No,15,Yes,No,Fibra óptica,Yes,No,Yes,Yes,Yes,Yes,Mês a mês,No,Cheque eletrônico,105.1,1582.75,3.5172222222222222
0208-BPQEJ,No,Feminino,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,Transferência bancária (automática),19.4,198.1,0.5502777777777778
0212-ISBBF,No,Feminino,No,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,50.35,1098.85,1.6649242424242423
0214-JHPFW,No,Feminino,No,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois anos,No,Transferência bancária (automática),57.8,4039.3,1.9234761904761906
0215-BQKGS,No,Masculino,No,No,No,30,Yes,No,Fibra óptica,Yes,Yes,Yes,No,No,No,Mês a mês,Yes,Cartão de crédito (automático),84.3,2438.6,2.7095555555555553
0218-QNVAS,No,Masculino,No,Yes,Yes,71,Yes,Yes,Fibra óptica,No,Yes,No,No,Yes,Yes,Um ano,No,Transferência bancária (automática),100.55,7113.75,3.339788732394366
0219-QAERP,No,Masculino,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,No,Cartão de crédito (automático),19.8,576.65,0.6407222222222222
0219-YTZUE,Yes,Masculino,No,Yes,Yes,4,Yes,Yes,Fibra óptica,No,Yes,Yes,No,No,No,Mês a mês,Yes,Transferência bancária (automática),84.8,371.9,3.0991666666666666
0220-EBGCE,Yes,Masculino,No,No,No,2,Yes,No,Fibra óptica,No,No,Yes,No,No,Yes,Mês a mês,Yes,Cheque eletrônico,85.85,167.3,2.7883333333333336
0221-NAUXK,No,Masculino,No,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um ano,Yes,Transferência bancária (automática),19.95,219.5,0.7316666666666667
0221-WMXNQ,No,Masculino,Yes,No,No,4,Yes,No,Fibra óptica,Yes,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,75.35,273.4,2.2783333333333333
0222-CNVPT,No,Masculino,Yes,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),48.8,2555.05,1.6378525641025643
0224-HJAPT,Yes,Masculino,No,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Mês a mês,No,Cheque eletrônico,47.15,223.15,1.4876666666666667
0224-NIJLP,No,Masculino,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois anos,No,Cheque enviado,20.15,165.5,0.6895833333333333
0224-RLWWD,No,Feminino,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,44.3,89.3,1.4883333333333333
0225-ZORZP,No,Masculino,No,No,No,3,Yes,No,Fibra óptica,No,Yes,No,No,No,Yes,Mês a mês,No,Cheque eletrônico,84.3,235.05,2.611666666666667
0228-MAUWC,No,Masculino,No,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Mês a mês,No,Cheque eletrônico,59.55,1144.6,2.008070175438596
0229-LFJAF,No,Masculino,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Dois anos,No,Transferência bancária (automática),69.65,4908.25,2.272337962962963
0230-UBYPQ,No,Masculino,Yes,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,Um ano,No,Transferência bancária (automática),36.1,2298.9,1.2163492063492063
0230-WEQUW,No,Masculino,No,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Dois anos,Yes,Transferência bancária (automática),56.6,3789.2,1.9137373737373737
0231-LXVAP,Yes,Masculino,No,No,No,1,Yes,No,Fibra óptica,No,No,No,Yes,No,No,Mês a mês,Yes,Cheque eletrônico,75.9,75.9,2.5300000000000002
0233-FTHAV,No,Feminino,No,No,No,60,Yes,Yes,Fibra óptica,No,No,Yes,No,No,No,Um ano,Yes,Transferência bancária (automática),79.2,4765.0,2.647222222222222
0234-TEVTT,No,Feminino,No,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Um ano,No,Cartão de crédito (automático),45.0,2196.3,1.5252083333333335
